--------------------------------------------------------------------------------
JobId          : qinlab-0-636903f5
Name           : ligprep_1
Program        : LigPrep
MMshareExec    : /opt/schrodinger2017-4/./mmshare-v4.0/bin/Linux-x86_64
Host           : qinlab
Dir            : /home/admin/@Z_H/dock_11.7/5zty/ligprep_1
HostEntry      : localhost
JobHost        : qinlab
JobDir         : /scratch/qinlab/ligprep_1
JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
Commandline    : /opt/schrodinger2017-4/./ligprep -inp ligprep_1.inp -HOST localhost:36 -NJOBS 1 -PROJ /home/qinlab/.schrodinger/tmp/tproj47400a545988 -DISP append -VIEWNAME ligprep_gui.LigPrepPanel -TMPLAUNCHDIR -ATTACHED
StartTime      : 2022-11-07-21:11:18
--------------------------------------------------------------------------------
LigPrep: preparing subjobs

Running subjobs on hosts:
  localhost (Max: 36)
Number of jobs:       1
Max retries per job:  2
Max allowed failures: unlimited
Run with -LOCAL:      False
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

C A W | Activity  JobId  JobName  JobHost
- - - | --------- -----------------------
0 1 0 | launched  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]
1 0 0 | finished  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]

All jobs have completed.

1 of 1 job(s) succeeded; 0 job(s) failed.

--------------------------------------------------------------------------------
SUBJOB:  ligprep_1-1 

--------------------------------------------------------------------------------
 JobId          : qinlab-0-636903f7
 Name           : ligprep_1-1
 Program        : LigPrep
 MMshareExec    : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Host           : qinlab
 Dir            : /scratch/qinlab/ligprep_1
 HostEntry      : localhost
 JobHost        : qinlab
 JobDir         : /scratch/qinlab/ligprep_1-1
 JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Commandline    : /opt/schrodinger2017-4/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz -HOST localhost
 StartTime      : 2022-11-07-21:11:19
 --------------------------------------------------------------------------------
 LigPrep (version 44011). Copyright Schrodinger, LLC. All rights reserved.
 
 LigPrep command:
 $SCHRODINGER/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz
 
 Processing steps:
 $DO/sdconvert_in.pyc -bad -orig_file_index 0 -orig_file ligprep_1.sdf in_ligprep_1-1.sdf
 $DO/sdstereoexpander.pyc -max_output 32 -max_generated 1024 <infile.mae> <outfile.mae>
 $DO/htreat.pyc -t All-None -a all -s -l 200 <infile.mae> <outfile.mae>
 $DO/desalter.pyc <infile.mae> <outfile.mae>
 $DO/neutralizer.pyc -m 200 <infile.mae> <outfile.mae>
 $DO/epik.pyc -ph 7.0 -tn 8 -ma 200 -imae <infile.mae> -omae <outfile.mae>
 $DO/guard.pyc <infile.mae> <outfile.mae>
 $DO/stereoizer.pyc -label_specified_chiralities -n 32 <infile.mae> <outfile.mae>
 $DO/cgx.pyc -optimize -ffld 16 -epsilon 10.0 <infile.mae> <outfile.mae>
 
 DO=$SCHRODINGER/run -FROM macromodel ../../lib/Linux-x86_64/python_packages/ligprep3/
 
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
 WARNING: entry #1: empty title, assigning generic 'ligprep_1.sdf:1'.
      832   1/0     1/0     1/0     1/0     3/0     3/0     6/0     6/0   'ligprep_1.sdf:832'
      833   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:833'
      834   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:834'
      835   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:835'
      836   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:836'
      837   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:837'
      838   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:838'
      839   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:839'
      840   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:840'
      841   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:841'
      842   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:842'
      843   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:843'
      844   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:844'
      845   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:845'
      846   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:846'
      847   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:847'
      848   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:848'
      849   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:849'
      850   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:850'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      851   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:851'
      852   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:852'
      853   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:853'
      854   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:854'
      855   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:855'
      856   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:856'
      857   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:857'
      858   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:858'
      859   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:859'
      860   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:860'
      861   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:861'
      862   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:862'
      863   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:863'
      864   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:864'
      865   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:865'
      866   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:866'
      867   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:867'
      868   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:868'
      869   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:869'
      870   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:870'
      871   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:871'
      872   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:872'
      873   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:873'
      874   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:874'
      875   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:875'
      876   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:876'
      877   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:877'
      878   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:878'
      879   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:879'
      880   2/0     2/0     2/0     2/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:880'
      881   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:881'
      882   2/0     2/0     2/0     2/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:882'
      883   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:883'
      884   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:884'
      885   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:885'
      886   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:886'
      887   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:887'
      888   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:888'
      889   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:889'
      890   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:890'
      891   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:891'
      892   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:892'
      893   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:893'
      894   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:894'
      895   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:895'
      896   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:896'
      897   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:897'
      898   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:898'
      899   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:899'
      900   1/0     1/0     1/0     1/0     2/0     2/0     3/0     3/0   'ligprep_1.sdf:900'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      901   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:901'
      902   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:902'
      903   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:903'
      904   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:904'
      905   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:905'
      906   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:906'
      907   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:907'
      908   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:908'
      909   2/0     2/0     2/0     2/0     2/0     2/0     4/0     4/0   'ligprep_1.sdf:909'
      910   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:910'
      911   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:911'
      912   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:912'
      913   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:913'
      914   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:914'
      915   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:915'
      916   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:916'
      917   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:917'
      918   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:918'
      919   2/0     2/0     2/0     2/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:919'
      920   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:920'
      921   2/0     2/0     2/0     2/0     6/0     6/0     6/0     6/0   'ligprep_1.sdf:921'
      922   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:922'
      923   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:923'
      924   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:924'
      925   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:925'
      926   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:926'
      927   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:927'
      928   2/0     2/0     2/0     2/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:928'
      929   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:929'
      930   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:930'
      931   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:931'
      932   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:932'
      933   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:933'
      934   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:934'
      935   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:935'
      936   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:936'
      937   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:937'
      938   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:938'
      939   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:939'
      940   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:940'
      941   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:941'
      942   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:942'
      943   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:943'
      944   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:944'
      945   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:945'
      946   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:946'
      947   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:947'
      948   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:948'
      949   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:949'
      950   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:950'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      951   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:951'
      952   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:952'
      953   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:953'
      954   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:954'
      955   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:955'
      956   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:956'
      957   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:957'
      958   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:958'
      959   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:959'
      960   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:960'
      961   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:961'
      962   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:962'
      963   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:963'
      964   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:964'
      965   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:965'
      966   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:966'
      967   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:967'
      968   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:968'
      969   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:969'
      970   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:970'
      971   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:971'
      972   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:972'
      973   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:973'
      974   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:974'
      975   2/0     2/0     2/0     2/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:975'
      976   1/0     1/0     1/0     1/0     3/0     3/0     4/0     4/0   'ligprep_1.sdf:976'
      977   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:977'
      978   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:978'
      979   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:979'
      980   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:980'
      981   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:981'
      982   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:982'
      983   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:983'
      984   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:984'
      985   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:985'
      986   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:986'
      987   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:987'
      988   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:988'
      989   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:989'
      990   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:990'
      991   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:991'
      992   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:992'
      993   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:993'
      994   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:994'
      995   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:995'
      996   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:996'
      997   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:997'
      998   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:998'
      999   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:999'
     1000   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1000'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
     1001   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1001'
     1002   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1002'
     1003   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1003'
     1004   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1004'
     1005   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1005'
     1006   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1006'
     1007   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1007'
     1008   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1008'
     1009   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1009'
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: General aromatic protonated n (formally charged): 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: General aromatic protonated n (formally charged): 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: 1,3,4-Thiadiazoline: 1
 Adding general crowding pattern: count 1
 number of matches for crowding type: deprotonated_amide_ortho_to_aromatic_nX2: abs type: General aromatic protonated n (formally charged): 1
     1010   1/0     1/0     1/0     1/0     2/0     2/0     4/0     4/0   'ligprep_1.sdf:1010'
     1011   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1011'
     1012   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1012'
     1013   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1013'
     1014   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1014'
     1015   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1015'
     1016   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1016'
     1017   4/0     4/0     4/0     4/0    12/0    12/0    12/0    12/0   'ligprep_1.sdf:1017'
     1018   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1018'
     1019   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1019'
     1020   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1020'
     1021   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1021'
     1022   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1022'
     1023   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1023'
     1024   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1024'
     1025   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1025'
     1026   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:1026'
     1027   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1027'
     1028   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1028'
     1029   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1029'
     1030   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1030'
     1031   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1031'
     1032   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1032'
     1033   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1033'
     1034   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1034'
     1035   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1035'
     1036   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:1036'
     1037   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1037'
     1038   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1038'
     1039   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1039'
     1040   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1040'
     1041   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1041'
     1042   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1042'
     1043   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1043'
     1044   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:1044'
     1045   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1045'
     1046   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1046'
     1047   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1047'
     1048   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1048'
     1049   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1049'
     1050   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1050'
 # counts of output and dropped structures after processing steps
